THI,RH (%),Ruminating,Eating,Lactation,DIM
74.26666666666667,73.71666666666667,1739,0,2,481
73.96000000000001,50.6,300,2520,2,303
74.68333333333334,51.3,0,1851,2,303
75.67166666666667,47.63333333333333,1620,0,2,303
76.24166666666666,45.016666666666666,2160,60,2,303
76.63166666666666,43.98333333333333,420,9,2,303
77.05,43.31666666666667,60,3480,2,303
77.32833333333333,43.88333333333333,1749,711,2,303
77.78999999999999,47.45,471,3060,2,303
77.04333333333334,44.56666666666667,1869,120,2,303
76.96000000000001,48.23333333333333,51,2040,2,303
75.75666666666666,49.21666666666667,789,0,2,303
73.87666666666668,51.66666666666666,891,0,2,303
72.72833333333332,57.86666666666667,1740,609,2,303
72.03166666666667,60.16666666666666,1389,1071,2,303
71.15,64.1,1191,0,2,304
70.61666666666666,64.43333333333334,1980,0,2,304
70.08999999999999,65.06666666666666,1860,0,2,304
69.70166666666667,66.08333333333333,3360,69,2,304
69.45166666666667,66.38333333333334,0,2940,2,304
69.68833333333333,65.71666666666667,0,1911,2,304
70.58999999999999,64.36666666666666,0,1749,2,304
71.52333333333333,62.05,1569,1071,2,304
74.62166666666667,54.73333333333333,1080,1149,2,304
74.97166666666666,42.016666666666666,60,2160,2,304
75.61,40.21666666666667,969,411,2,304
76.24666666666667,38.31666666666667,1560,600,2,304
76.58,35.13333333333333,3300,0,2,304
77.295,33.88333333333333,2280,420,2,304
77.46499999999999,34.21666666666667,651,2949,2,304
77.53333333333333,34.88333333333333,609,1371,2,304
77.79166666666667,37.16666666666666,1551,1689,2,304
77.83666666666666,40.71666666666667,1680,291,2,304
77.43666666666667,44.48333333333333,1440,1029,2,304
76.30333333333333,48.7,189,2991,2,304
74.64833333333333,55.23333333333333,1080,60,2,304
73.66333333333334,56.66666666666666,3600,0,2,304
72.79166666666667,57.98333333333333,1980,720,2,304
72.33500000000001,59.46666666666667,471,0,2,305
71.055,64.91666666666667,840,0,2,305
70.28666666666666,69.5,1371,2229,2,305
69.82833333333333,70.23333333333333,129,51,2,305
74.42333333333333,56.18333333333333,1320,2169,2,305
76.365,49.81666666666667,0,2991,2,305
77.445,45.5,0,1080,2,305
78.81833333333334,46.2,0,960,2,305
79.86166666666666,48.31666666666667,2220,0,2,305
80.16000000000001,44.28333333333333,909,0,2,305
80.31333333333333,42.43333333333333,2460,120,2,305
81.01166666666667,42.91666666666666,1191,2229,2,305
80.92833333333333,41.6,189,2031,2,305
81.07833333333333,40.86666666666667,2091,729,2,305
81.225,45.833333333333336,0,1671,2,305
